COUNTRY,P,YEAR,VALUE
Australia,p90p100,1995,0.282
Australia,p90p100,1996,0.2786
Australia,p90p100,1997,0.287
Australia,p90p100,1998,0.2896
Australia,p90p100,1999,0.3015
Australia,p90p100,2000,0.3071
Australia,p90p100,2001,0.2933
Australia,p90p100,2002,0.3016
Australia,p90p100,2003,0.3029
Australia,p90p100,2004,0.3066
Australia,p90p100,2005,0.3119
Australia,p90p100,2006,0.3256
Australia,p90p100,2007,0.3151
Australia,p90p100,2008,0.2977
Australia,p90p100,2009,0.3119
Australia,p90p100,2010,0.3137
Australia,p90p100,2011,0.3059
Australia,p90p100,2012,0.3182
Australia,p90p100,2013,0.3293
Australia,p90p100,2014,0.3271
Australia,p90p100,2015,0.3288
Australia,p90p100,2016,0.325
Australia,p90p100,2017,0.3356
Australia,p90p100,2018,0.3254
Australia,p90p100,2019,0.326
Australia,p90p100,2020,0.326
Australia,p90p100,2021,0.326
Australia,p0p50,1995,0.1773
Australia,p0p50,1996,0.1798
Australia,p0p50,1997,0.1753
Australia,p0p50,1998,0.1749
Australia,p0p50,1999,0.1699
Australia,p0p50,2000,0.1687
Australia,p0p50,2001,0.1748
Australia,p0p50,2002,0.1713
Australia,p0p50,2003,0.1726
Australia,p0p50,2004,0.1717
Australia,p0p50,2005,0.1679
Australia,p0p50,2006,0.1627
Australia,p0p50,2007,0.1675
Australia,p0p50,2008,0.1746
Australia,p0p50,2009,0.174
Australia,p0p50,2010,0.1718
Australia,p0p50,2011,0.1758
Australia,p0p50,2012,0.1697
Australia,p0p50,2013,0.1626
Australia,p0p50,2014,0.1635
Australia,p0p50,2015,0.1616
Australia,p0p50,2016,0.1621
Australia,p0p50,2017,0.1616
Australia,p0p50,2018,0.1659
Australia,p0p50,2019,0.166
Australia,p0p50,2020,0.166
Australia,p0p50,2021,0.166
Australia,p99p100,1995,0.084
Australia,p99p100,1996,0.0827
Australia,p99p100,1997,0.0869
Australia,p99p100,1998,0.0901
Australia,p99p100,1999,0.1002
Australia,p99p100,2000,0.1059
Australia,p99p100,2001,0.0965
Australia,p99p100,2002,0.1017
Australia,p99p100,2003,0.1069
Australia,p99p100,2004,0.1117
Australia,p99p100,2005,0.1124
Australia,p99p100,2006,0.124
Australia,p99p100,2007,0.1192
Australia,p99p100,2008,0.1062
Australia,p99p100,2009,0.1127
Australia,p99p100,2010,0.1149
Australia,p99p100,2011,0.1094
Australia,p99p100,2012,0.1165
Australia,p99p100,2013,0.1248
Australia,p99p100,2014,0.1191
Australia,p99p100,2015,0.1182
Australia,p99p100,2016,0.1143
Australia,p99p100,2017,0.128
Australia,p99p100,2018,0.1123
Australia,p99p100,2019,0.1128
Australia,p99p100,2020,0.1128
Australia,p99p100,2021,0.1128
Austria,p90p100,1995,0.3305
Austria,p90p100,1996,0.333
Austria,p90p100,1997,0.3391
Austria,p90p100,1998,0.3466
Austria,p90p100,1999,0.3294
Austria,p90p100,2000,0.3479
Austria,p90p100,2001,0.3369
Austria,p90p100,2002,0.3471
Austria,p90p100,2003,0.3614
Austria,p90p100,2004,0.3414
Austria,p90p100,2005,0.3549
Austria,p90p100,2006,0.3748
Austria,p90p100,2007,0.353
Austria,p90p100,2008,0.3553
Austria,p90p100,2009,0.3424
Austria,p90p100,2010,0.3472
Austria,p90p100,2011,0.3386
Austria,p90p100,2012,0.3189
Austria,p90p100,2013,0.3212
Austria,p90p100,2014,0.3408
Austria,p90p100,2015,0.3331
Austria,p90p100,2016,0.3417
Austria,p90p100,2017,0.3338
Austria,p90p100,2018,0.3352
Austria,p90p100,2019,0.3388
Austria,p90p100,2020,0.3385
Austria,p90p100,2021,0.3385
Austria,p0p50,1995,0.2238
Austria,p0p50,1996,0.2213
Austria,p0p50,1997,0.2184
Austria,p0p50,1998,0.2162
Austria,p0p50,1999,0.226
Austria,p0p50,2000,0.2175
Austria,p0p50,2001,0.2249
Austria,p0p50,2002,0.2154
Austria,p0p50,2003,0.2113
Austria,p0p50,2004,0.2185
Austria,p0p50,2005,0.212
Austria,p0p50,2006,0.2028
Austria,p0p50,2007,0.2103
Austria,p0p50,2008,0.2121
Austria,p0p50,2009,0.2141
Austria,p0p50,2010,0.2119
Austria,p0p50,2011,0.2166
Austria,p0p50,2012,0.2243
Austria,p0p50,2013,0.2259
Austria,p0p50,2014,0.2175
Austria,p0p50,2015,0.2198
Austria,p0p50,2016,0.2181
Austria,p0p50,2017,0.2241
Austria,p0p50,2018,0.222
Austria,p0p50,2019,0.2202
Austria,p0p50,2020,0.2204
Austria,p0p50,2021,0.2204
Austria,p99p100,1995,0.1101
Austria,p99p100,1996,0.1109
Austria,p99p100,1997,0.1141
Austria,p99p100,1998,0.1188
Austria,p99p100,1999,0.1073
Austria,p99p100,2000,0.1184
Austria,p99p100,2001,0.1125
Austria,p99p100,2002,0.1156
Austria,p99p100,2003,0.1221
Austria,p99p100,2004,0.1148
Austria,p99p100,2005,0.1127
Austria,p99p100,2006,0.1331
Austria,p99p100,2007,0.1149
Austria,p99p100,2008,0.1231
Austria,p99p100,2009,0.1082
Austria,p99p100,2010,0.1137
Austria,p99p100,2011,0.1111
Austria,p99p100,2012,0.0827
Austria,p99p100,2013,0.0896
Austria,p99p100,2014,0.111
Austria,p99p100,2015,0.1016
Austria,p99p100,2016,0.1108
Austria,p99p100,2017,0.0988
Austria,p99p100,2018,0.0992
Austria,p99p100,2019,0.1012
Austria,p99p100,2020,0.1009
Austria,p99p100,2021,0.1009
Belgium,p90p100,1995,0.3264
Belgium,p90p100,1996,0.3295
Belgium,p90p100,1997,0.3284
Belgium,p90p100,1998,0.3263
Belgium,p90p100,1999,0.3267
Belgium,p90p100,2000,0.3267
Belgium,p90p100,2001,0.3219
Belgium,p90p100,2002,0.3159
Belgium,p90p100,2003,0.3154
Belgium,p90p100,2004,0.322
Belgium,p90p100,2005,0.3197
Belgium,p90p100,2006,0.3241
Belgium,p90p100,2007,0.3334
Belgium,p90p100,2008,0.3172
Belgium,p90p100,2009,0.3093
Belgium,p90p100,2010,0.3135
Belgium,p90p100,2011,0.3114
Belgium,p90p100,2012,0.3137
Belgium,p90p100,2013,0.3163
Belgium,p90p100,2014,0.3187
Belgium,p90p100,2015,0.3183
Belgium,p90p100,2016,0.3211
Belgium,p90p100,2017,0.3183
Belgium,p90p100,2018,0.3286
Belgium,p90p100,2019,0.3289
Belgium,p90p100,2020,0.3289
Belgium,p90p100,2021,0.3289
Belgium,p0p50,1995,0.2062
Belgium,p0p50,1996,0.2031
Belgium,p0p50,1997,0.2022
Belgium,p0p50,1998,0.2009
Belgium,p0p50,1999,0.2024
Belgium,p0p50,2000,0.1987
Belgium,p0p50,2001,0.2034
Belgium,p0p50,2002,0.2035
Belgium,p0p50,2003,0.2014
Belgium,p0p50,2004,0.2008
Belgium,p0p50,2005,0.2023
Belgium,p0p50,2006,0.2018
Belgium,p0p50,2007,0.2003
Belgium,p0p50,2008,0.21
Belgium,p0p50,2009,0.2109
Belgium,p0p50,2010,0.206
Belgium,p0p50,2011,0.2115
Belgium,p0p50,2012,0.2116
Belgium,p0p50,2013,0.2107
Belgium,p0p50,2014,0.2097
Belgium,p0p50,2015,0.2097
Belgium,p0p50,2016,0.2112
Belgium,p0p50,2017,0.2115
Belgium,p0p50,2018,0.2041
Belgium,p0p50,2019,0.204
Belgium,p0p50,2020,0.204
Belgium,p0p50,2021,0.204
Belgium,p99p100,1995,0.0808
Belgium,p99p100,1996,0.0837
Belgium,p99p100,1997,0.0826
Belgium,p99p100,1998,0.0814
Belgium,p99p100,1999,0.0821
Belgium,p99p100,2000,0.0821
Belgium,p99p100,2001,0.0797
Belgium,p99p100,2002,0.0763
Belgium,p99p100,2003,0.0767
Belgium,p99p100,2004,0.0852
Belgium,p99p100,2005,0.0844
Belgium,p99p100,2006,0.0872
Belgium,p99p100,2007,0.0951
Belgium,p99p100,2008,0.085
Belgium,p99p100,2009,0.0749
Belgium,p99p100,2010,0.0763
Belgium,p99p100,2011,0.0794
Belgium,p99p100,2012,0.0817
Belgium,p99p100,2013,0.082
Belgium,p99p100,2014,0.0835
Belgium,p99p100,2015,0.0848
Belgium,p99p100,2016,0.0863
Belgium,p99p100,2017,0.085
Belgium,p99p100,2018,0.086
Belgium,p99p100,2019,0.0863
Belgium,p99p100,2020,0.0863
Belgium,p99p100,2021,0.0863
Canada,p90p100,1995,0.3647
Canada,p90p100,1996,0.3716
Canada,p90p100,1997,0.3797
Canada,p90p100,1998,0.3817
Canada,p90p100,1999,0.3847
Canada,p90p100,2000,0.4008
Canada,p90p100,2001,0.3913
Canada,p90p100,2002,0.3899
Canada,p90p100,2003,0.3907
Canada,p90p100,2004,0.3982
Canada,p90p100,2005,0.4068
Canada,p90p100,2006,0.4145
Canada,p90p100,2007,0.4168
Canada,p90p100,2008,0.407
Canada,p90p100,2009,0.3929
Canada,p90p100,2010,0.4016
Canada,p90p100,2011,0.403
Canada,p90p100,2012,0.3983
Canada,p90p100,2013,0.4082
Canada,p90p100,2014,0.4119
Canada,p90p100,2015,0.4125
Canada,p90p100,2016,0.3933
Canada,p90p100,2017,0.4082
Canada,p90p100,2018,0.3984
Canada,p90p100,2019,0.397
Canada,p90p100,2020,0.397
Canada,p90p100,2021,0.397
Canada,p0p50,1995,0.1738
Canada,p0p50,1996,0.1717
Canada,p0p50,1997,0.1679
Canada,p0p50,1998,0.1685
Canada,p0p50,1999,0.1686
Canada,p0p50,2000,0.1629
Canada,p0p50,2001,0.1674
Canada,p0p50,2002,0.1661
Canada,p0p50,2003,0.165
Canada,p0p50,2004,0.1641
Canada,p0p50,2005,0.1624
Canada,p0p50,2006,0.1614
Canada,p0p50,2007,0.161
Canada,p0p50,2008,0.1634
Canada,p0p50,2009,0.1676
Canada,p0p50,2010,0.1652
Canada,p0p50,2011,0.1641
Canada,p0p50,2012,0.1659
Canada,p0p50,2013,0.1622
Canada,p0p50,2014,0.1624
Canada,p0p50,2015,0.1641
Canada,p0p50,2016,0.1712
Canada,p0p50,2017,0.1555
Canada,p0p50,2018,0.1617
Canada,p0p50,2019,0.1625
Canada,p0p50,2020,0.1625
Canada,p0p50,2021,0.1625
Canada,p99p100,1995,0.1052
Canada,p99p100,1996,0.1117
Canada,p99p100,1997,0.1219
Canada,p99p100,1998,0.1252
Canada,p99p100,1999,0.1306
Canada,p99p100,2000,0.1473
Canada,p99p100,2001,0.1387
Canada,p99p100,2002,0.1348
Canada,p99p100,2003,0.135
Canada,p99p100,2004,0.1443
Canada,p99p100,2005,0.1539
Canada,p99p100,2006,0.1608
Canada,p99p100,2007,0.1633
Canada,p99p100,2008,0.1508
Canada,p99p100,2009,0.1323
Canada,p99p100,2010,0.1398
Canada,p99p100,2011,0.1407
Canada,p99p100,2012,0.1342
Canada,p99p100,2013,0.1457
Canada,p99p100,2014,0.1506
Canada,p99p100,2015,0.157
Canada,p99p100,2016,0.1328
Canada,p99p100,2017,0.149
Canada,p99p100,2018,0.1395
Canada,p99p100,2019,0.1391
Canada,p99p100,2020,0.1391
Canada,p99p100,2021,0.1391
Chile,p90p100,1995,0.6036
Chile,p90p100,1996,0.6036
Chile,p90p100,1997,0.6036
Chile,p90p100,1998,0.6036
Chile,p90p100,1999,0.6036
Chile,p90p100,2000,0.6036
Chile,p90p100,2001,0.6074
Chile,p90p100,2002,0.6112
Chile,p90p100,2003,0.6149
Chile,p90p100,2004,0.6215
Chile,p90p100,2005,0.6281
Chile,p90p100,2006,0.6346
Chile,p90p100,2007,0.6318
Chile,p90p100,2008,0.6289
Chile,p90p100,2009,0.6261
Chile,p90p100,2010,0.6447
Chile,p90p100,2011,0.6634
Chile,p90p100,2012,0.6519
Chile,p90p100,2013,0.6405
Chile,p90p100,2014,0.6397
Chile,p90p100,2015,0.639
Chile,p90p100,2016,0.6331
Chile,p90p100,2017,0.6273
Chile,p90p100,2018,0.6273
Chile,p90p100,2019,0.6273
Chile,p90p100,2020,0.6273
Chile,p90p100,2021,0.6273
Chile,p0p50,1995,0.0894
Chile,p0p50,1996,0.0894
Chile,p0p50,1997,0.0894
Chile,p0p50,1998,0.0894
Chile,p0p50,1999,0.0894
Chile,p0p50,2000,0.0894
Chile,p0p50,2001,0.0891
Chile,p0p50,2002,0.0889
Chile,p0p50,2003,0.0887
Chile,p0p50,2004,0.0875
Chile,p0p50,2005,0.0864
Chile,p0p50,2006,0.0853
Chile,p0p50,2007,0.0843
Chile,p0p50,2008,0.0834
Chile,p0p50,2009,0.0825
Chile,p0p50,2010,0.0798
Chile,p0p50,2011,0.0771
Chile,p0p50,2012,0.0807
Chile,p0p50,2013,0.0842
Chile,p0p50,2014,0.0849
Chile,p0p50,2015,0.0856
Chile,p0p50,2016,0.0887
Chile,p0p50,2017,0.0919
Chile,p0p50,2018,0.0919
Chile,p0p50,2019,0.0919
Chile,p0p50,2020,0.0919
Chile,p0p50,2021,0.0919
Chile,p99p100,1995,0.2508
Chile,p99p100,1996,0.2508
Chile,p99p100,1997,0.2508
Chile,p99p100,1998,0.2508
Chile,p99p100,1999,0.2508
Chile,p99p100,2000,0.2508
Chile,p99p100,2001,0.2502
Chile,p99p100,2002,0.2495
Chile,p99p100,2003,0.2488
Chile,p99p100,2004,0.2624
Chile,p99p100,2005,0.276
Chile,p99p100,2006,0.2896
Chile,p99p100,2007,0.2794
Chile,p99p100,2008,0.2693
Chile,p99p100,2009,0.2592
Chile,p99p100,2010,0.2597
Chile,p99p100,2011,0.2602
Chile,p99p100,2012,0.2585
Chile,p99p100,2013,0.2569
Chile,p99p100,2014,0.264
Chile,p99p100,2015,0.271
Chile,p99p100,2016,0.2709
Chile,p99p100,2017,0.2707
Chile,p99p100,2018,0.2707
Chile,p99p100,2019,0.2707
Chile,p99p100,2020,0.2707
Chile,p99p100,2021,0.2707
Colombia,p90p100,1995,0.5664
Colombia,p90p100,1996,0.5664
Colombia,p90p100,1997,0.5664
Colombia,p90p100,1998,0.5664
Colombia,p90p100,1999,0.5664
Colombia,p90p100,2000,0.5664
Colombia,p90p100,2001,0.5664
Colombia,p90p100,2002,0.5664
Colombia,p90p100,2003,0.5778
Colombia,p90p100,2004,0.5663
Colombia,p90p100,2005,0.5569
Colombia,p90p100,2006,0.5611
Colombia,p90p100,2007,0.5653
Colombia,p90p100,2008,0.5694
Colombia,p90p100,2009,0.5656
Colombia,p90p100,2010,0.5613
Colombia,p90p100,2011,0.5597
Colombia,p90p100,2012,0.538
Colombia,p90p100,2013,0.5448
Colombia,p90p100,2014,0.5449
Colombia,p90p100,2015,0.5335
Colombia,p90p100,2016,0.5338
Colombia,p90p100,2017,0.5368
Colombia,p90p100,2018,0.5469
Colombia,p90p100,2019,0.5469
Colombia,p90p100,2020,0.5469
Colombia,p90p100,2021,0.5469
Colombia,p0p50,1995,0.085
Colombia,p0p50,1996,0.085
Colombia,p0p50,1997,0.085
Colombia,p0p50,1998,0.085
Colombia,p0p50,1999,0.085
Colombia,p0p50,2000,0.085
Colombia,p0p50,2001,0.085
Colombia,p0p50,2002,0.085
Colombia,p0p50,2003,0.0886
Colombia,p0p50,2004,0.0903
Colombia,p0p50,2005,0.0955
Colombia,p0p50,2006,0.0924
Colombia,p0p50,2007,0.0892
Colombia,p0p50,2008,0.0861
Colombia,p0p50,2009,0.0878
Colombia,p0p50,2010,0.0892
Colombia,p0p50,2011,0.0945
Colombia,p0p50,2012,0.0986
Colombia,p0p50,2013,0.0979
Colombia,p0p50,2014,0.0988
Colombia,p0p50,2015,0.1044
Colombia,p0p50,2016,0.1062
Colombia,p0p50,2017,0.1033
Colombia,p0p50,2018,0.0993
Colombia,p0p50,2019,0.0993
Colombia,p0p50,2020,0.0993
Colombia,p0p50,2021,0.0993
Colombia,p99p100,1995,0.209
Colombia,p99p100,1996,0.213
Colombia,p99p100,1997,0.2121
Colombia,p99p100,1998,0.2102
Colombia,p99p100,1999,0.1999
Colombia,p99p100,2000,0.1942
Colombia,p99p100,2001,0.1942
Colombia,p99p100,2002,0.1942
Colombia,p99p100,2003,0.2045
Colombia,p99p100,2004,0.2018
Colombia,p99p100,2005,0.1922
Colombia,p99p100,2006,0.195
Colombia,p99p100,2007,0.1978
Colombia,p99p100,2008,0.2007
Colombia,p99p100,2009,0.191
Colombia,p99p100,2010,0.19
Colombia,p99p100,2011,0.2083
Colombia,p99p100,2012,0.1838
Colombia,p99p100,2013,0.1916
Colombia,p99p100,2014,0.1946
Colombia,p99p100,2015,0.1862
Colombia,p99p100,2016,0.1889
Colombia,p99p100,2017,0.1789
Colombia,p99p100,2018,0.1989
Colombia,p99p100,2019,0.1989
Colombia,p99p100,2020,0.1989
Colombia,p99p100,2021,0.1989
Costa Rica,p90p100,1995,0.5145
Costa Rica,p90p100,1996,0.5145
Costa Rica,p90p100,1997,0.5145
Costa Rica,p90p100,1998,0.5145
Costa Rica,p90p100,1999,0.5145
Costa Rica,p90p100,2000,0.5145
Costa Rica,p90p100,2001,0.5145
Costa Rica,p90p100,2002,0.5145
Costa Rica,p90p100,2003,0.5145
Costa Rica,p90p100,2004,0.5145
Costa Rica,p90p100,2005,0.5145
Costa Rica,p90p100,2006,0.5145
Costa Rica,p90p100,2007,0.5145
Costa Rica,p90p100,2008,0.5145
Costa Rica,p90p100,2009,0.5145
Costa Rica,p90p100,2010,0.5145
Costa Rica,p90p100,2011,0.5212
Costa Rica,p90p100,2012,0.5254
Costa Rica,p90p100,2013,0.5258
Costa Rica,p90p100,2014,0.5239
Costa Rica,p90p100,2015,0.5333
Costa Rica,p90p100,2016,0.5435
Costa Rica,p90p100,2017,0.5238
Costa Rica,p90p100,2018,0.5389
Costa Rica,p90p100,2019,0.5275
Costa Rica,p90p100,2020,0.5275
Costa Rica,p90p100,2021,0.5275
Costa Rica,p0p50,1995,0.1102
Costa Rica,p0p50,1996,0.1102
Costa Rica,p0p50,1997,0.1102
Costa Rica,p0p50,1998,0.1102
Costa Rica,p0p50,1999,0.1102
Costa Rica,p0p50,2000,0.1102
Costa Rica,p0p50,2001,0.1102
Costa Rica,p0p50,2002,0.1102
Costa Rica,p0p50,2003,0.1102
Costa Rica,p0p50,2004,0.1102
Costa Rica,p0p50,2005,0.1102
Costa Rica,p0p50,2006,0.1102
Costa Rica,p0p50,2007,0.1102
Costa Rica,p0p50,2008,0.1102
Costa Rica,p0p50,2009,0.1102
Costa Rica,p0p50,2010,0.1102
Costa Rica,p0p50,2011,0.1048
Costa Rica,p0p50,2012,0.1031
Costa Rica,p0p50,2013,0.099
Costa Rica,p0p50,2014,0.1006
Costa Rica,p0p50,2015,0.0999
Costa Rica,p0p50,2016,0.0987
Costa Rica,p0p50,2017,0.1039
Costa Rica,p0p50,2018,0.0993
Costa Rica,p0p50,2019,0.102
Costa Rica,p0p50,2020,0.102
Costa Rica,p0p50,2021,0.102
Costa Rica,p99p100,1995,0.1897
Costa Rica,p99p100,1996,0.1897
Costa Rica,p99p100,1997,0.1897
Costa Rica,p99p100,1998,0.1897
Costa Rica,p99p100,1999,0.1897
Costa Rica,p99p100,2000,0.1897
Costa Rica,p99p100,2001,0.1897
Costa Rica,p99p100,2002,0.1897
Costa Rica,p99p100,2003,0.1897
Costa Rica,p99p100,2004,0.1897
Costa Rica,p99p100,2005,0.1897
Costa Rica,p99p100,2006,0.1897
Costa Rica,p99p100,2007,0.1897
Costa Rica,p99p100,2008,0.1897
Costa Rica,p99p100,2009,0.1897
Costa Rica,p99p100,2010,0.1897
Costa Rica,p99p100,2011,0.1909
Costa Rica,p99p100,2012,0.1717
Costa Rica,p99p100,2013,0.1734
Costa Rica,p99p100,2014,0.1464
Costa Rica,p99p100,2015,0.173
Costa Rica,p99p100,2016,0.2094
Costa Rica,p99p100,2017,0.1682
Costa Rica,p99p100,2018,0.2089
Costa Rica,p99p100,2019,0.1913
Costa Rica,p99p100,2020,0.1913
Costa Rica,p99p100,2021,0.1913
Czech Republic,p90p100,1995,0.2938
Czech Republic,p90p100,1996,0.299
Czech Republic,p90p100,1997,0.2864
Czech Republic,p90p100,1998,0.306
Czech Republic,p90p100,1999,0.3025
Czech Republic,p90p100,2000,0.3001
Czech Republic,p90p100,2001,0.2997
Czech Republic,p90p100,2002,0.2923
Czech Republic,p90p100,2003,0.2972
Czech Republic,p90p100,2004,0.2977
Czech Republic,p90p100,2005,0.3014
Czech Republic,p90p100,2006,0.3017
Czech Republic,p90p100,2007,0.3027
Czech Republic,p90p100,2008,0.3215
Czech Republic,p90p100,2009,0.2984
Czech Republic,p90p100,2010,0.2978
Czech Republic,p90p100,2011,0.29
Czech Republic,p90p100,2012,0.3033
Czech Republic,p90p100,2013,0.2966
Czech Republic,p90p100,2014,0.3029
Czech Republic,p90p100,2015,0.3072
Czech Republic,p90p100,2016,0.2979
Czech Republic,p90p100,2017,0.2953
Czech Republic,p90p100,2018,0.2877
Czech Republic,p90p100,2019,0.2854
Czech Republic,p90p100,2020,0.2857
Czech Republic,p90p100,2021,0.2857
Czech Republic,p0p50,1995,0.2559
Czech Republic,p0p50,1996,0.25
Czech Republic,p0p50,1997,0.2595
Czech Republic,p0p50,1998,0.2496
Czech Republic,p0p50,1999,0.2494
Czech Republic,p0p50,2000,0.2533
Czech Republic,p0p50,2001,0.2548
Czech Republic,p0p50,2002,0.2593
Czech Republic,p0p50,2003,0.2531
Czech Republic,p0p50,2004,0.2514
Czech Republic,p0p50,2005,0.2525
Czech Republic,p0p50,2006,0.2465
Czech Republic,p0p50,2007,0.249
Czech Republic,p0p50,2008,0.2421
Czech Republic,p0p50,2009,0.2548
Czech Republic,p0p50,2010,0.2508
Czech Republic,p0p50,2011,0.2604
Czech Republic,p0p50,2012,0.2531
Czech Republic,p0p50,2013,0.2611
Czech Republic,p0p50,2014,0.2506
Czech Republic,p0p50,2015,0.2456
Czech Republic,p0p50,2016,0.254
Czech Republic,p0p50,2017,0.2518
Czech Republic,p0p50,2018,0.2537
Czech Republic,p0p50,2019,0.255
Czech Republic,p0p50,2020,0.2548
Czech Republic,p0p50,2021,0.2548
Czech Republic,p99p100,1995,0.1079
Czech Republic,p99p100,1996,0.1095
Czech Republic,p99p100,1997,0.1007
Czech Republic,p99p100,1998,0.1151
Czech Republic,p99p100,1999,0.1125
Czech Republic,p99p100,2000,0.1107
Czech Republic,p99p100,2001,0.1115
Czech Republic,p99p100,2002,0.106
Czech Republic,p99p100,2003,0.1069
Czech Republic,p99p100,2004,0.1082
Czech Republic,p99p100,2005,0.1155
Czech Republic,p99p100,2006,0.1055
Czech Republic,p99p100,2007,0.1129
Czech Republic,p99p100,2008,0.1356
Czech Republic,p99p100,2009,0.1139
Czech Republic,p99p100,2010,0.1073
Czech Republic,p99p100,2011,0.1031
Czech Republic,p99p100,2012,0.1114
Czech Republic,p99p100,2013,0.1041
Czech Republic,p99p100,2014,0.1061
Czech Republic,p99p100,2015,0.1122
Czech Republic,p99p100,2016,0.1077
Czech Republic,p99p100,2017,0.1073
Czech Republic,p99p100,2018,0.102
Czech Republic,p99p100,2019,0.1002
Czech Republic,p99p100,2020,0.1004
Czech Republic,p99p100,2021,0.1004
Denmark,p90p100,1995,0.2836
Denmark,p90p100,1996,0.2863
Denmark,p90p100,1997,0.2981
Denmark,p90p100,1998,0.2954
Denmark,p90p100,1999,0.3097
Denmark,p90p100,2000,0.3131
Denmark,p90p100,2001,0.2959
Denmark,p90p100,2002,0.2949
Denmark,p90p100,2003,0.285
Denmark,p90p100,2004,0.2908
Denmark,p90p100,2005,0.3065
Denmark,p90p100,2006,0.3108
Denmark,p90p100,2007,0.305
Denmark,p90p100,2008,0.3007
Denmark,p90p100,2009,0.29
Denmark,p90p100,2010,0.3156
Denmark,p90p100,2011,0.3165
Denmark,p90p100,2012,0.3175
Denmark,p90p100,2013,0.3276
Denmark,p90p100,2014,0.3349
Denmark,p90p100,2015,0.3301
Denmark,p90p100,2016,0.333
Denmark,p90p100,2017,0.3333
Denmark,p90p100,2018,0.3328
Denmark,p90p100,2019,0.3364
Denmark,p90p100,2020,0.3386
Denmark,p90p100,2021,0.3386
Denmark,p0p50,1995,0.2481
Denmark,p0p50,1996,0.2478
Denmark,p0p50,1997,0.2425
Denmark,p0p50,1998,0.2434
Denmark,p0p50,1999,0.2376
Denmark,p0p50,2000,0.2368
Denmark,p0p50,2001,0.2428
Denmark,p0p50,2002,0.243
Denmark,p0p50,2003,0.2524
Denmark,p0p50,2004,0.2466
Denmark,p0p50,2005,0.2413
Denmark,p0p50,2006,0.2393
Denmark,p0p50,2007,0.2425
Denmark,p0p50,2008,0.2371
Denmark,p0p50,2009,0.2411
Denmark,p0p50,2010,0.2305
Denmark,p0p50,2011,0.2286
Denmark,p0p50,2012,0.2277
Denmark,p0p50,2013,0.222
Denmark,p0p50,2014,0.2197
Denmark,p0p50,2015,0.2203
Denmark,p0p50,2016,0.2189
Denmark,p0p50,2017,0.2174
Denmark,p0p50,2018,0.216
Denmark,p0p50,2019,0.2146
Denmark,p0p50,2020,0.2138
Denmark,p0p50,2021,0.2138
Denmark,p99p100,1995,0.0936
Denmark,p99p100,1996,0.0962
Denmark,p99p100,1997,0.1054
Denmark,p99p100,1998,0.1031
Denmark,p99p100,1999,0.1146
Denmark,p99p100,2000,0.1171
Denmark,p99p100,2001,0.1017
Denmark,p99p100,2002,0.1006
Denmark,p99p100,2003,0.0923
Denmark,p99p100,2004,0.0977
Denmark,p99p100,2005,0.11
Denmark,p99p100,2006,0.1148
Denmark,p99p100,2007,0.1094
Denmark,p99p100,2008,0.1037
Denmark,p99p100,2009,0.095
Denmark,p99p100,2010,0.1142
Denmark,p99p100,2011,0.1146
Denmark,p99p100,2012,0.1176
Denmark,p99p100,2013,0.1221
Denmark,p99p100,2014,0.1291
Denmark,p99p100,2015,0.1273
Denmark,p99p100,2016,0.1277
Denmark,p99p100,2017,0.1251
Denmark,p99p100,2018,0.1237
Denmark,p99p100,2019,0.1272
Denmark,p99p100,2020,0.1291
Denmark,p99p100,2021,0.1291
Estonia,p90p100,1995,0.4186
Estonia,p90p100,1996,0.43
Estonia,p90p100,1997,0.4221
Estonia,p90p100,1998,0.4239
Estonia,p90p100,1999,0.4164
Estonia,p90p100,2000,0.4156
Estonia,p90p100,2001,0.4116
Estonia,p90p100,2002,0.4274
Estonia,p90p100,2003,0.4297
Estonia,p90p100,2004,0.4099
Estonia,p90p100,2005,0.4472
Estonia,p90p100,2006,0.4086
Estonia,p90p100,2007,0.3947
Estonia,p90p100,2008,0.3753
Estonia,p90p100,2009,0.3439
Estonia,p90p100,2010,0.359
Estonia,p90p100,2011,0.3718
Estonia,p90p100,2012,0.3912
Estonia,p90p100,2013,0.388
Estonia,p90p100,2014,0.3841
Estonia,p90p100,2015,0.3579
Estonia,p90p100,2016,0.3621
Estonia,p90p100,2017,0.3534
Estonia,p90p100,2018,0.3595
Estonia,p90p100,2019,0.3462
Estonia,p90p100,2020,0.3474
Estonia,p90p100,2021,0.3474
Estonia,p0p50,1995,0.1486
Estonia,p0p50,1996,0.1537
Estonia,p0p50,1997,0.1563
Estonia,p0p50,1998,0.1574
Estonia,p0p50,1999,0.159
Estonia,p0p50,2000,0.153
Estonia,p0p50,2001,0.1548
Estonia,p0p50,2002,0.1498
Estonia,p0p50,2003,0.135
Estonia,p0p50,2004,0.1505
Estonia,p0p50,2005,0.1477
Estonia,p0p50,2006,0.158
Estonia,p0p50,2007,0.1651
Estonia,p0p50,2008,0.1765
Estonia,p0p50,2009,0.19
Estonia,p0p50,2010,0.1808
Estonia,p0p50,2011,0.1742
Estonia,p0p50,2012,0.1686
Estonia,p0p50,2013,0.1589
Estonia,p0p50,2014,0.1618
Estonia,p0p50,2015,0.1729
Estonia,p0p50,2016,0.174
Estonia,p0p50,2017,0.1787
Estonia,p0p50,2018,0.1785
Estonia,p0p50,2019,0.1827
